strategy,regime,n_days,sharpe,ann_return,ann_vol,max_dd,hit_rate
Long_Only_Weekly,low_vol,495,2.3483712498375082,0.3429322989667036,0.14602984898168558,-0.1111463179136366,0.5717171717171717
Long_Only_Weekly,normal,521,0.6641376753188252,0.11205024431538811,0.1687153861006265,-0.1449058492972094,0.5355086372360844
Long_Only_Weekly,high_vol,402,0.07610480256394186,0.015976507259070606,0.2099277144257412,-0.23184198722969207,0.5149253731343284
EW_BuyHold,low_vol,495,2.3633844273311935,0.3511805915964611,0.1485922423517976,-0.08571732657916409,0.5757575757575758
EW_BuyHold,normal,521,0.6924852511079921,0.11584868970088534,0.16729408967992432,-0.21596858595883417,0.5508637236084453
EW_BuyHold,high_vol,402,-0.2885460144497094,-0.05849663655214352,0.20272897084960043,-0.2493275465514646,0.5124378109452736
Long_Only_Top20,low_vol,495,2.1603776994876167,0.31917338122891875,0.1477396203935164,-0.1007812937751712,0.5777777777777777
Long_Only_Top20,normal,521,0.5372044483841226,0.090345322432909,0.16817679508176464,-0.16742832676567676,0.5239923224568138
Long_Only_Top20,high_vol,402,0.022550676014246342,0.004724483743119265,0.2095051935531592,-0.24314133478604627,0.527363184079602
LS_Monthly,low_vol,495,0.4058313505525718,0.052339302542369896,0.12896811069698227,-0.08570201140378397,0.4868686868686869
LS_Monthly,normal,521,0.018420223811832878,0.002177964315650335,0.11823766843979622,-0.21474965126984458,0.4798464491362764
LS_Monthly,high_vol,402,1.28557850405151,0.17074484459059902,0.13281557217431328,-0.13625936911964587,0.4975124378109453
