,ann_return,ann_vol,sharpe,sortino,max_dd,avg_dd,calmar,hit_rate,profit_factor,ann_turnover,total_return
Long_Only_Weekly,0.1654,0.1744,0.9483,1.2303,-0.2888,-0.0624,0.5728,0.5423,1.1803,12.3808,1.327
EW_BuyHold,0.1486,0.1724,0.862,1.0891,-0.2486,-0.0681,0.5975,0.5487,1.1625,0.1777,1.121
Long_Only_Top20,0.146,0.1746,0.836,1.0736,-0.3145,-0.0683,0.464,0.5437,1.1574,17.89,1.0854
Long_Bias_120_20,0.125,0.1757,0.7118,0.9289,-0.3176,-0.0742,0.3937,0.5339,1.1326,21.3697,0.8521
Long_Only_Top10,0.1206,0.1766,0.6833,0.8895,-0.313,-0.0743,0.3854,0.5423,1.1282,23.006,0.8052
Long_Bias_130_30,0.1196,0.1759,0.6799,0.8955,-0.3236,-0.0777,0.3696,0.5346,1.1266,24.7539,0.796
LS_Monthly,0.0675,0.1263,0.5345,0.9057,-0.2612,-0.0626,0.2583,0.4873,1.0955,7.2724,0.3979
LS_Top20_Bot20,0.0463,0.1295,0.3578,0.5741,-0.2026,-0.0875,0.2287,0.4929,1.0644,17.7774,0.2383
Spread_Q1_Q5,0.0463,0.1295,0.3578,0.5741,-0.2026,-0.0875,0.2287,0.4929,1.0644,17.7774,0.2383
LS_Weekly,0.0429,0.1286,0.3341,0.5385,-0.2916,-0.1164,0.1473,0.5042,1.0597,12.2283,0.2157
Signal_Weighted_Weekly,0.0301,0.1249,0.2412,0.3753,-0.2491,-0.1103,0.121,0.5007,1.0431,10.9756,0.134
LS_Biweekly,0.0304,0.1275,0.2386,0.3813,-0.2898,-0.1266,0.105,0.5028,1.042,9.9563,0.1338
Signal_Weighted,0.0281,0.1269,0.221,0.3467,-0.2279,-0.1068,0.1231,0.4986,1.04,14.7872,0.1193
LS_Top30_Bot30,0.0182,0.1116,0.163,0.2592,-0.2454,-0.0971,0.0741,0.4908,1.0292,14.5455,0.0698
LS_Top10_Bot10,-0.0137,0.1548,-0.0885,-0.1413,-0.3994,-0.2204,-0.0343,0.4887,0.9848,22.2192,-0.1343
