pair,half_life,p_value,total_return,sharpe,max_dd,n_trades,oos_return,oos_sharpe,oos_max_dd,oos_trades
Asset_054-Asset_087,23.533441765830464,1.0307856312276653e-06,-73.69585014452313,-0.942168020278354,-75.05905787301378,76,-33.742618999720484,-0.994147810091078,-33.92216932656369,15
Asset_020-Asset_037,24.8063582752377,1.5009100570590526e-05,-74.0392100398793,-1.1723686583756612,-75.15845483204417,71,-40.90897543547353,-1.1676669746316277,-45.535402801875804,18
Asset_081-Asset_096,21.1804243684437,1.9757145613163482e-05,-53.74618008777582,-0.6840875444296964,-55.953835037309815,68,-41.38243581065699,-1.561134692495446,-43.84975624948958,13
Asset_010-Asset_016,19.452129946392773,2.277612297326162e-05,-60.230587951602935,-1.1841191962342204,-60.68468940606883,72,-22.02901041002968,-1.527743535538532,-25.646373240742236,17
Asset_031-Asset_062,32.40265085843726,6.042695291010979e-05,-68.2748571480928,-0.8612294377662224,-69.38526938712835,71,-21.74445120653833,-0.7912513878308934,-25.51985396956279,16
Asset_071-Asset_089,31.18012462650872,7.75805739445685e-05,-64.87293385305615,-0.8926976354961484,-69.35692536682166,64,-38.89767346408167,-1.6292909549836798,-41.4321128063246,15
Asset_027-Asset_032,34.45545152301757,0.00013510595295581905,-77.33840927555397,-0.948834811709969,-77.65342939748496,61,-46.288707456432,-1.3090999740993585,-49.182668985184485,14
Asset_037-Asset_052,34.90380046660794,0.00017353775685981622,-79.7796432244825,-1.0211425392191653,-80.09168793903098,62,-40.68127937217497,-1.4679426300398974,-47.588847848995805,14
Asset_038-Asset_087,33.60692272683626,0.00018287658442554642,-79.3924782853232,-1.0785871908402593,-80.84566983268921,76,-34.22386502004557,-0.9911453296663443,-41.38143248106058,16
Asset_020-Asset_054,36.12882396673143,0.00022434097497924486,-75.22965795896019,-0.9180652092559048,-77.60199858160033,78,-31.43747072269263,-1.0258287717548884,-35.95328666601626,16
